,Date,cases,Close
155,14-08-2020,4537.8,4537.8
156,17-08-2020,4568.2,4568.2
157,18-08-2020,4633.65,4633.65
158,19-08-2020,4660,4660
159,20-08-2020,4703,4703
160,21-08-2020,4711.05,4711.05
161,24-08-2020,4741.1,4741.1
162,25-08-2020,4756.4,4756.4
163,26-08-2020,4787.7,4787.7
164,27-08-2020,4788.1,4788.1
165,28-08-2020,4829.55,4829.55
166,31-08-2020,4636.95,4636.95
167,01-09-2020,4683.3,4683.3
168,02-09-2020,4753.9,4753.9
169,03-09-2020,4816.05,4816.05
170,04-09-2020,4720.1,4720.1
171,07-09-2020,4665.85,4665.85
172,08-09-2020,4587,4587
173,09-09-2020,4567.5,4567.5
174,10-09-2020,4603.05,4603.05
175,11-09-2020,4644.85,4644.85
176,14-09-2020,4740.1,4740.1
177,15-09-2020,4770.05,4770.05
178,16-09-2020,4783.75,4783.75
179,17-09-2020,4788.7,4788.7
180,18-09-2020,4767.75,4767.75
181,21-09-2020,4572.85,4572.85
182,22-09-2020,4496.55,4496.55
183,23-09-2020,4486.45,4486.45
184,24-09-2020,4355.3,4355.3
185,25-09-2020,4534.95,4534.95
186,28-09-2020,4699.7,4699.7
187,29-09-2020,4678.7,4678.7
188,30-09-2020,4666.55,4666.55
189,01-10-2020,4722.15,4722.15
190,05-10-2020,4707.85,4707.85
191,06-10-2020,4738.65,4738.65
192,07-10-2020,4717.2,4717.2
193,08-10-2020,4735.05,4735.05
194,09-10-2020,4731.1,4731.1
195,12-10-2020,4688.65,4688.65
196,13-10-2020,4643.8,4643.8
197,14-10-2020,4649.45,4649.45
198,15-10-2020,4550.1,4550.1
199,16-10-2020,4613.55,4613.55
200,19-10-2020,4656.8,4656.8
201,20-10-2020,4690.5,4690.5
202,21-10-2020,4701.15,4701.15
203,22-10-2020,4725.15,4725.15
204,23-10-2020,4757.4,4757.4
205,26-10-2020,4650.5,4650.5
206,27-10-2020,4713.15,4713.15
207,28-10-2020,4648.8,4648.8
208,29-10-2020,4625.2,4625.2
209,30-10-2020,4666.05,4666.05
210,02-11-2020,4716.9,4716.9
211,03-11-2020,4748.45,4748.45
212,04-11-2020,4773.15,4773.15
213,05-11-2020,4882.45,4882.45
214,06-11-2020,4926.5,4926.5
215,09-11-2020,4979.35,4979.35
216,10-11-2020,5020.05,5020.05
217,11-11-2020,5048.55,5048.55
218,12-11-2020,5069.2,5069.2
219,13-11-2020,5105.7,5105.7
220,14-11-2020,5124.6,5124.6
221,17-11-2020,5188.05,5188.05
222,18-11-2020,5275.95,5275.95
223,19-11-2020,5245.8,5245.8
224,20-11-2020,5291.45,5291.45
225,23-11-2020,5365.55,5365.55
226,24-11-2020,5410.55,5410.55
227,25-11-2020,5334.45,5334.45
228,26-11-2020,5411.6,5411.6
229,27-11-2020,5557.9,5557.9
230,01-12-2020,5590.8,5590.8
231,02-12-2020,5613.6,5613.6
232,03-12-2020,5665.7,5665.7
233,04-12-2020,5696,5696
